500_500_train,500_500_test,200_500_train,200_500_test,64_500_train,64_500_test
241,254,104,277,33,236
241,254,104,277,33,236
241,254,102,260,46,336
405,386,159,380,54,378
411,391,156,383,55,369
414,399,155,387,57,373
410,385,161,378,54,348
410,380,160,381,56,368
430,400,163,385,57,374
420,387,166,388,57,378
427,391,167,393,59,387
430,399,168,381,60,378
430,408,167,378,62,373
432,404,167,375,63,394
414,389,171,373,63,384
426,402,174,378,63,391
427,402,176,389,62,391
432,404,176,387,63,386
427,407,178,387,62,373
428,404,177,398,63,374
426,397,181,400,63,383
428,411,183,405,63,387
427,414,182,394,63,390
431,409,183,403,63,391
431,411,184,390,62,375
429,417,187,408,64,388
426,394,188,403,64,390
435,417,185,394,64,394
438,420,189,400,64,393
436,412,188,399,64,391
432,409,187,399,64,392
429,406,187,396,64,392
441,422,188,400,64,396
442,421,190,405,64,396
442,421,188,393,64,394
444,425,193,405,64,394
447,422,189,392,64,391
444,421,193,408,64,391
447,426,191,385,64,378
440,418,192,388,64,392
446,422,194,410,64,386
445,421,194,399,64,390
443,424,193,391,64,395
444,421,195,403,64,389
446,426,194,394,64,396
446,428,196,407,64,394
449,432,196,404,64,391
449,426,196,406,64,392
450,426,196,413,64,393
453,427,196,407,64,391
459,427,197,410,64,388
463,430,195,391,64,393
460,427,197,407,64,387
461,429,196,402,64,392
460,427,197,408,64,391
462,429,197,404,64,390
459,423,197,408,64,387
463,430,197,412,64,391
469,431,197,410,64,387
467,431,197,405,64,390
463,426,197,408,64,392
469,432,197,411,64,388
472,436,197,415,64,390
471,437,197,400,64,388
469,439,197,411,64,386
472,437,197,408,64,390
467,432,197,408,64,389
472,436,197,406,64,390
476,434,198,405,64,394
478,432,198,402,64,392
473,436,198,403,64,391
473,436,198,401,64,389
475,436,197,393,64,385
474,439,198,400,64,388
475,436,198,406,64,387
472,436,198,402,64,387
473,431,198,401,64,384
479,429,198,398,64,387
475,435,198,399,64,375
476,436,198,395,64,386
476,437,198,399,64,383
481,436,198,390,64,382
480,439,199,390,64,389
477,437,199,394,64,388
481,438,199,388,64,391
476,434,199,396,64,388
478,436,197,381,64,389
478,439,199,395,64,387
479,440,199,394,64,380
477,437,199,389,64,389
477,436,199,392,64,383
481,437,199,392,64,391
479,437,199,393,64,376
480,438,199,396,64,389
481,435,199,394,64,388
480,437,199,390,64,391
479,438,199,389,64,389
482,437,199,392,64,388
483,432,199,397,64,389
482,430,200,395,64,392
485,435,200,398,64,389
484,433,200,392,64,387
486,429,200,395,64,388
485,433,200,395,64,389
488,436,199,390,64,389
486,430,200,394,64,390
485,435,200,395,64,389
485,434,200,392,64,393
483,428,200,402,64,388
486,432,199,392,64,384
486,428,199,390,64,386
485,434,200,395,64,388
486,435,200,387,64,389
486,434,200,393,64,385
488,433,200,394,64,388
486,436,199,388,64,392
490,435,200,399,64,379
487,435,200,400,64,390
488,431,200,404,64,376
487,435,200,401,64,391
489,435,200,397,64,390
489,429,200,401,64,379
490,435,200,404,64,390
488,431,200,401,64,386
487,433,200,399,64,379
489,430,200,403,64,388
490,430,200,403,64,390
490,431,200,391,64,386
488,432,200,398,64,381
492,431,200,404,64,373
490,431,200,405,64,387
492,432,200,404,64,386
492,435,200,398,64,391
492,428,200,401,64,386
491,437,200,406,64,398
492,435,200,403,64,390
491,431,200,403,64,387
492,434,200,392,64,383
491,431,200,392,64,386
491,433,200,406,64,389
491,431,200,401,64,379
490,434,200,400,64,390
490,433,200,404,64,395
490,436,200,403,64,388
492,433,200,393,64,372
492,432,200,401,64,381
491,428,200,396,64,385
491,434,200,399,64,383
490,428,200,394,64,383
490,431,200,397,64,378
490,434,200,398,64,381
490,428,200,397,64,383
490,432,200,400,64,385
491,432,200,405,64,381
491,428,200,390,64,378
490,429,200,398,64,385
488,428,200,409,64,380
490,431,200,405,64,378
491,432,200,403,64,381
490,426,200,400,64,379
490,436,200,400,64,382
492,429,200,390,64,378
491,428,200,392,64,376
492,432,200,407,64,379
492,431,200,400,64,380
490,429,200,404,64,378
490,431,200,393,64,377
491,434,200,403,64,379
492,434,200,406,64,379
492,434,200,401,64,378
492,430,200,400,64,376
491,432,200,406,64,375
492,431,200,400,64,384
490,433,200,410,64,377
489,427,200,409,64,377
487,424,200,404,64,378
493,435,200,393,64,379
489,428,200,408,64,383
490,430,200,408,64,375
491,437,200,408,64,375
491,433,200,403,64,374
488,423,200,397,64,377
489,432,200,392,64,379
489,435,200,407,64,376
490,430,200,406,64,376
490,430,200,403,64,374
493,432,200,400,64,379
493,433,199,398,64,376
491,428,199,401,64,375
491,432,200,401,64,376
490,431,199,394,64,380
489,425,200,397,64,374
488,425,200,402,64,376
488,427,199,401,64,374
489,426,199,400,64,374
491,432,200,403,64,373
491,431,200,406,64,374
492,432,200,398,64,374
491,428,200,398,64,377
493,430,200,403,64,378
