,200_500_train,200_500_test
0,120,257
1,120,257
2,120,257
3,120,257
4,120,257
5,120,257
6,120,257
7,120,257
8,120,257
9,120,257
10,120,257
11,100,250
12,100,250
13,100,250
14,100,250
15,100,250
16,100,250
17,100,250
18,101,250
19,100,250
20,100,250
21,100,250
22,100,250
23,84,233
24,100,250
25,100,250
26,100,250
27,100,250
28,99,250
29,100,250
30,100,250
31,100,250
32,100,250
33,100,250
34,100,250
35,100,250
36,100,250
37,100,250
38,100,250
39,100,250
40,100,250
41,100,250
42,100,250
43,100,250
44,100,250
45,100,250
46,100,250
47,100,250
48,100,250
49,100,250
50,100,250
51,100,250
52,100,250
53,100,250
54,100,250
55,100,250
56,100,250
57,100,250
58,100,250
59,100,250
60,100,250
61,100,250
62,100,250
63,100,250
64,100,250
65,100,250
66,100,250
67,100,250
68,100,250
69,100,250
70,100,250
71,100,250
72,100,250
73,100,250
74,100,250
75,100,250
76,100,250
77,100,250
78,100,250
79,100,250
80,100,250
81,100,250
82,100,250
83,100,250
84,100,250
85,100,250
86,100,250
87,100,250
88,100,250
89,100,250
90,100,250
91,100,250
92,100,250
93,100,250
94,100,250
95,100,250
96,100,250
97,100,250
98,100,250
99,108,255
100,100,250
101,100,250
102,100,250
103,101,250
104,149,352
105,158,396
106,152,354
107,104,255
108,183,443
109,165,391
110,141,318
111,147,325
112,194,476
113,195,480
114,139,311
115,170,364
116,196,492
117,170,352
118,178,401
119,197,493
120,198,493
121,189,455
122,183,430
123,196,474
124,199,497
125,198,483
126,197,491
127,199,496
128,199,491
129,198,483
130,198,493
131,199,496
132,198,491
133,199,491
134,199,491
135,198,494
136,199,490
137,199,486
138,199,491
139,199,494
140,199,491
141,198,481
142,199,491
143,199,495
144,199,491
145,199,493
146,200,496
147,199,495
148,199,491
149,199,491
150,200,496
151,200,496
152,199,492
153,200,496
154,199,495
155,199,482
156,199,489
157,200,496
158,200,494
159,199,492
160,199,492
161,200,496
162,200,492
163,200,494
164,200,496
165,200,497
166,200,485
167,200,495
168,200,496
169,200,496
170,200,494
171,200,496
172,200,497
173,200,496
174,200,496
175,200,496
176,200,496
177,200,496
