,200_500_train,200_500_test
0,105,239
1,118,277
2,103,260
3,98,256
4,98,253
5,98,246
6,97,249
7,96,241
8,94,242
9,95,241
10,96,241
11,127,297
12,170,378
13,181,395
14,183,416
15,189,426
16,190,429
17,194,436
18,194,435
19,196,442
20,197,442
21,194,425
22,198,444
23,199,452
24,199,455
25,198,440
26,197,447
27,199,454
28,198,452
29,200,453
30,200,462
31,199,459
32,200,457
33,199,456
34,200,461
35,199,458
36,198,453
37,198,453
38,199,459
39,199,460
40,198,458
41,198,454
42,198,450
43,198,456
44,199,455
45,200,458
46,200,458
47,200,469
48,200,462
49,200,466
50,200,461
51,200,453
52,200,462
53,199,453
54,200,444
55,200,461
56,200,461
57,200,448
58,200,458
59,200,458
60,200,462
61,200,454
62,200,457
63,200,456
64,200,458
65,200,456
66,200,463
67,200,450
68,200,461
69,200,470
70,200,453
71,200,461
72,200,458
73,200,454
74,200,456
75,200,458
76,200,456
77,200,460
78,200,461
79,200,427
80,200,462
81,200,443
82,200,464
83,200,466
84,200,468
85,200,458
86,200,458
87,200,468
88,200,469
89,200,464
90,200,467
91,200,466
92,200,432
93,200,450
94,200,466
95,200,450
96,200,464
97,200,459
98,200,460
99,200,452
