,64_500_train,64_500_test
0,32,250
1,32,252
2,32,250
3,32,250
4,50,392
5,62,454
6,64,462
7,64,458
8,64,463
9,64,465
10,64,463
11,64,463
12,64,460
13,64,462
14,64,463
15,64,467
16,64,456
17,64,462
18,64,463
19,64,463
20,64,463
21,64,464
22,64,462
23,64,461
24,64,456
25,64,466
26,64,463
27,64,463
28,64,451
29,64,464
30,64,464
31,64,461
32,64,463
33,64,463
34,64,464
35,64,464
36,64,466
37,64,464
38,64,463
39,64,461
40,64,463
41,64,465
42,64,464
43,64,463
44,64,459
45,64,460
46,64,466
47,64,462
48,64,462
49,64,464
50,64,460
51,64,470
52,64,461
53,64,463
54,64,463
55,64,464
56,64,461
57,64,462
58,64,463
59,64,467
60,64,460
61,64,469
62,64,465
63,64,463
64,64,462
65,64,461
66,64,469
67,64,465
68,64,463
69,64,464
70,64,462
71,64,464
72,64,461
73,64,463
74,64,463
75,64,462
76,64,464
77,64,459
78,64,465
79,64,465
80,64,464
81,64,465
82,64,454
83,64,470
84,64,463
85,64,466
86,64,453
87,64,466
88,64,461
89,64,463
90,64,465
91,64,459
92,64,464
93,64,462
94,64,464
95,64,463
96,64,464
97,64,464
98,64,462
99,64,464
