,500_500_train,500_500_test
0,314,302
1,314,302
2,314,302
3,314,302
4,314,302
5,314,302
6,314,302
7,314,302
8,314,302
9,314,302
10,314,302
11,250,250
12,250,250
13,250,250
14,263,268
15,250,250
16,250,250
17,250,250
18,180,223
19,206,255
20,250,250
21,250,250
22,250,250
23,250,250
24,169,216
25,215,226
26,250,250
27,250,250
28,250,250
29,214,234
30,210,230
31,250,250
32,250,250
33,250,250
34,250,250
35,229,232
36,250,250
37,250,250
38,250,250
39,250,250
40,250,250
41,250,250
42,250,250
43,250,250
44,250,250
45,250,250
46,250,250
47,250,250
48,250,250
49,250,250
50,250,250
51,250,250
52,250,250
53,250,250
54,250,250
55,250,250
56,250,250
57,250,250
58,250,250
59,250,250
60,250,250
61,250,250
62,250,250
63,250,250
64,250,250
65,250,250
66,250,250
67,250,250
68,250,250
69,250,250
70,250,250
71,250,250
72,250,250
73,250,250
74,250,250
75,250,250
76,250,250
77,250,250
78,250,250
79,250,250
80,250,250
81,250,250
82,250,250
83,250,250
84,250,250
85,250,250
86,250,250
87,250,250
88,250,250
89,250,250
90,250,250
91,250,250
92,250,250
93,250,250
94,250,250
95,250,250
96,250,250
97,250,250
98,250,250
99,250,250
100,250,250
101,250,250
102,250,250
103,250,250
104,250,250
105,250,250
106,250,250
107,250,250
108,250,250
109,250,250
110,250,250
111,250,250
112,250,250
113,250,250
114,250,250
115,250,250
116,250,250
117,250,250
118,250,250
119,250,250
120,250,250
121,250,250
122,250,250
123,250,250
124,250,250
125,250,250
126,250,250
127,250,250
128,250,250
129,250,250
130,250,250
131,250,250
132,250,250
133,250,250
134,250,250
135,250,250
136,250,250
137,250,250
138,250,250
139,250,250
140,250,250
141,250,250
142,250,250
143,250,250
144,250,250
145,250,250
146,250,250
147,250,250
148,250,250
149,250,250
150,250,250
151,250,250
152,250,250
153,250,250
154,250,250
155,250,250
156,250,250
157,250,250
158,250,250
159,250,250
160,250,250
161,250,250
162,250,250
163,250,250
164,250,250
165,250,250
166,250,250
167,250,250
168,250,250
169,250,250
170,250,250
171,250,250
172,250,250
173,250,250
174,250,250
175,250,250
176,250,250
177,250,250
178,250,250
179,250,250
180,250,250
181,250,250
182,250,250
183,250,250
184,250,250
185,250,250
186,250,250
187,250,250
188,250,250
189,250,250
190,250,250
191,250,250
192,250,250
193,250,250
194,250,250
195,250,250
196,250,250
197,250,250
198,250,250
199,250,250
200,250,250
201,250,250
202,250,250
203,250,250
204,250,250
205,250,250
206,250,250
207,250,250
208,250,250
209,250,250
210,250,250
211,250,250
212,250,250
213,250,250
214,250,250
215,250,250
216,250,250
217,250,250
218,250,250
219,250,250
220,250,250
221,250,250
222,250,250
223,250,250
224,250,250
225,250,250
226,250,250
227,250,250
228,250,250
229,250,250
230,250,250
231,250,250
232,250,250
233,250,250
234,250,250
235,250,250
236,250,250
237,250,250
238,250,250
239,250,250
240,250,250
241,250,250
242,255,254
243,307,292
244,251,250
245,328,305
246,268,267
247,365,339
248,270,266
249,321,301
250,407,372
251,272,265
252,399,361
253,279,273
254,438,402
255,443,404
256,472,450
257,423,381
258,477,458
259,479,467
260,429,385
261,443,405
262,492,492
263,471,448
264,418,375
265,491,493
266,474,460
267,480,473
268,449,413
269,497,499
270,431,389
271,482,476
272,486,483
273,482,477
274,486,483
275,443,393
276,498,494
277,472,455
278,443,394
279,493,496
280,486,483
281,463,429
282,481,472
283,496,495
284,464,435
285,454,415
286,496,494
287,473,454
288,493,494
289,494,497
290,477,466
291,472,457
292,493,494
293,497,495
294,453,414
295,474,463
296,499,496
297,473,461
298,495,495
299,499,496
300,489,486
301,494,496
302,498,496
303,494,494
304,477,471
305,497,496
306,497,496
307,489,486
308,497,496
309,499,496
310,496,498
311,489,486
312,498,497
313,497,498
314,495,494
315,497,498
316,497,499
317,495,495
318,497,497
319,497,499
320,496,499
321,496,499
322,497,498
323,497,498
324,496,499
325,497,500
326,497,499
327,496,499
328,497,500
329,500,497
330,495,494
331,496,499
332,500,496
333,495,498
334,500,497
335,500,497
336,499,497
337,499,497
338,500,497
339,499,497
340,499,499
341,499,497
342,499,497
343,500,497
344,499,498
345,499,498
346,500,497
347,500,497
348,499,499
349,499,497
350,500,497
351,499,498
352,499,497
353,499,498
354,499,498
355,499,498
356,499,498
357,499,498
358,499,497
359,499,498
360,499,497
361,499,498
362,499,497
363,499,497
364,500,497
365,499,497
366,500,497
367,500,497
368,499,497
369,500,497
370,499,497
371,499,497
372,500,497
373,499,498
374,499,497
375,500,497
376,499,497
377,499,497
378,499,497
379,499,498
380,500,497
381,500,497
382,499,498
383,499,497
384,499,498
385,499,498
386,500,497
387,499,498
388,500,497
389,500,497
390,499,500
391,500,497
392,500,497
393,499,498
394,499,498
395,500,497
396,499,498
397,499,498
398,499,497
399,499,498
400,499,498
401,500,497
402,499,498
403,499,497
404,500,497
405,500,497
406,500,497
407,500,497
408,500,497
409,500,497
410,500,497
411,500,497
412,500,497
413,500,497
414,500,497
415,500,497
416,500,497
417,500,497
418,500,498
419,500,497
420,500,497
421,500,497
422,500,497
423,500,497
424,500,497
425,500,497
426,500,496
427,500,498
428,500,496
429,500,497
430,500,498
431,500,497
432,500,497
433,500,497
434,500,497
435,500,497
436,500,497
437,500,497
438,500,497
439,500,497
440,500,497
441,500,497
442,500,497
443,500,497
444,500,497
445,500,497
446,500,497
447,500,497
448,500,497
449,500,497
450,500,497
451,500,497
452,500,496
453,500,497
454,500,498
455,500,497
456,500,498
457,500,496
458,500,498
459,500,497
460,500,498
461,500,497
462,500,497
463,500,497
464,500,498
465,500,498
466,500,496
467,500,498
468,500,496
469,500,497
470,500,496
471,500,496
472,500,497
473,500,497
474,500,496
475,500,497
476,500,497
477,500,497
478,500,497
479,500,497
480,500,497
481,500,497
482,500,497
483,500,497
484,500,496
485,500,498
486,500,496
487,500,497
488,500,496
489,500,496
490,500,497
491,500,498
492,500,496
493,500,497
494,500,497
495,500,496
496,500,497
497,500,498
498,500,496
499,500,498
500,500,497
501,500,496
502,500,497
503,500,497
504,500,497
505,500,497
506,500,497
507,500,497
508,500,498
509,500,498
510,500,497
511,500,498
512,500,498
513,500,498
514,500,497
515,500,497
516,500,497
517,500,498
518,500,497
519,500,497
520,500,498
521,500,497
522,500,497
523,500,497
524,500,497
525,500,497
526,500,497
527,500,497
528,500,497
529,500,497
530,500,497
531,500,497
532,500,497
533,500,497
534,500,497
535,500,497
536,500,497
537,500,497
538,500,497
539,500,497
540,500,497
541,500,497
542,500,497
543,500,497
544,500,497
545,500,497
546,500,497
547,500,497
548,500,497
549,500,497
550,500,497
551,500,497
552,500,497
553,500,497
554,500,497
555,500,497
556,500,496
557,500,497
558,500,497
559,500,497
560,500,497
561,500,497
562,500,497
563,500,497
564,500,497
565,500,497
566,500,497
567,500,497
568,500,497
569,500,497
570,500,497
571,500,497
572,500,497
573,500,497
574,500,497
575,500,497
576,500,497
577,500,497
578,500,497
579,500,497
580,500,497
581,500,497
582,500,497
583,500,497
584,500,497
585,500,497
586,500,497
587,500,497
588,500,497
589,500,497
590,500,497
591,500,497
592,500,497
593,500,497
594,500,497
595,500,497
596,500,497
597,500,497
598,500,497
599,500,497
600,500,497
601,500,497
602,500,497
603,500,497
604,500,497
605,500,497
606,500,497
607,500,497
608,500,497
609,500,497
610,500,497
611,500,497
612,500,497
613,500,497
614,500,497
615,500,497
616,500,497
617,500,497
618,500,497
619,500,497
620,500,497
621,500,497
622,500,497
623,500,497
624,500,497
625,500,497
626,500,497
627,500,497
628,500,497
629,500,497
630,500,497
631,500,497
632,500,497
633,500,496
634,500,497
635,500,498
636,500,497
637,500,497
638,500,497
639,500,497
640,500,497
641,500,497
642,500,497
643,500,497
644,500,497
645,500,497
646,500,497
647,500,497
648,500,497
649,500,497
650,500,497
651,500,497
652,500,497
653,500,497
654,500,497
655,500,497
656,500,497
657,500,497
658,500,497
659,500,497
660,500,497
661,500,497
662,500,497
663,500,497
664,500,497
665,500,497
666,500,497
667,500,497
668,500,498
669,500,497
670,500,497
671,500,498
672,500,498
673,500,498
674,500,497
675,500,498
676,500,498
677,500,497
678,500,498
679,500,497
680,500,497
681,500,498
682,500,498
683,500,498
684,500,497
685,500,497
686,500,497
687,500,498
688,500,497
689,500,497
690,500,498
691,500,497
692,500,497
693,500,497
694,500,497
695,500,497
696,500,497
697,500,497
698,500,497
699,500,497
700,500,497
701,500,497
702,500,497
703,500,497
704,500,497
705,500,498
706,500,497
707,500,496
708,500,497
709,500,496
710,500,498
711,500,498
712,500,497
713,500,496
714,500,496
715,500,497
716,500,496
717,500,496
718,500,498
719,500,496
720,500,498
721,500,497
722,500,498
723,500,498
724,500,497
725,500,498
726,500,497
727,500,498
728,500,498
729,500,497
730,500,497
731,500,497
732,500,498
733,500,497
734,500,498
735,500,498
736,500,496
737,500,498
738,500,497
739,500,498
740,500,497
741,500,497
742,500,498
743,500,497
744,500,498
745,500,497
746,500,496
747,500,496
748,500,496
749,500,498
750,500,498
751,500,497
752,500,497
753,500,498
754,500,497
755,500,498
756,500,496
757,500,498
758,500,496
759,500,497
760,500,498
761,500,497
762,500,498
763,500,498
764,500,497
765,500,497
766,500,497
767,500,498
768,500,497
769,500,497
770,500,497
771,500,497
772,500,497
773,500,497
774,500,497
775,500,497
776,500,497
777,500,497
778,500,497
779,500,497
780,500,497
781,500,497
782,500,497
783,500,497
784,500,497
785,500,498
786,500,497
787,500,498
788,500,497
789,500,497
790,500,497
791,500,497
792,500,497
793,500,497
794,500,497
795,500,498
796,500,497
797,500,497
798,500,497
799,500,497
800,500,497
801,500,497
802,500,497
803,500,497
804,500,497
805,500,497
806,500,497
807,500,497
808,500,497
809,500,497
810,500,497
811,500,497
812,500,497
813,500,497
814,500,497
815,500,497
816,500,497
817,500,497
818,500,497
819,500,497
820,500,497
821,500,497
822,500,497
823,500,497
824,500,497
825,500,497
826,500,497
827,500,497
828,500,497
829,500,497
830,500,497
831,500,497
832,500,497
833,500,497
834,500,497
835,500,497
836,500,497
837,500,497
838,500,497
839,500,497
840,500,497
841,500,497
842,500,497
843,500,497
844,500,497
845,500,497
846,500,497
847,500,497
848,500,497
849,500,497
850,500,497
851,500,497
852,500,497
853,500,497
854,500,497
855,500,497
856,500,497
857,500,497
858,500,497
859,500,497
860,500,497
861,500,497
862,500,497
863,500,497
864,500,497
865,500,497
866,500,497
867,500,497
868,500,497
869,500,497
870,500,497
871,500,497
872,500,497
873,500,497
874,500,496
875,500,498
876,500,496
877,500,497
878,500,497
879,500,497
880,500,497
881,500,497
882,500,497
883,500,498
884,500,498
885,500,498
886,500,496
887,500,497
888,500,497
889,500,497
890,500,498
891,500,497
892,500,498
893,500,498
894,500,496
895,500,498
896,500,497
897,500,497
898,500,497
899,500,497
