,200_500_train,200_500_test
0,98,245
1,98,245
2,98,245
3,98,245
4,98,245
5,98,245
6,100,247
7,106,261
8,123,298
9,111,273
10,124,290
11,134,302
12,132,294
13,142,330
14,136,311
15,145,299
16,144,293
17,142,299
18,143,315
19,145,297
20,145,311
21,139,308
22,135,297
23,138,298
24,137,301
25,141,305
26,144,317
27,133,297
28,139,311
29,137,306
30,136,298
31,139,316
32,117,275
33,138,320
34,113,274
35,138,310
36,135,300
37,115,265
38,135,302
39,124,286
40,123,282
41,132,294
42,111,260
43,130,301
44,119,270
45,120,274
46,124,288
47,120,280
48,119,274
49,120,274
50,122,284
51,106,251
52,109,248
53,117,264
54,103,250
55,119,270
56,105,246
57,115,252
58,107,245
59,105,247
60,109,248
61,116,268
62,106,248
63,117,254
64,116,256
65,105,245
66,114,267
67,104,247
68,114,253
69,102,246
70,105,245
71,104,248
72,111,250
73,100,249
74,110,240
75,103,241
76,103,238
77,100,243
78,102,238
79,101,243
80,102,241
81,101,247
82,99,246
83,106,247
84,104,251
85,114,257
86,105,247
87,100,243
88,100,244
89,101,244
90,102,247
91,105,240
92,100,250
93,105,248
94,100,248
95,106,248
96,105,249
97,102,251
98,101,246
99,101,250
100,102,248
101,108,249
102,102,248
103,108,254
104,112,259
105,120,268
106,140,297
107,131,287
108,137,298
109,132,285
110,139,302
111,148,314
112,153,329
113,150,332
114,147,318
115,147,310
116,152,335
117,155,329
118,183,391
119,173,377
120,191,415
121,190,404
122,191,403
123,181,386
124,186,394
125,189,400
126,190,407
127,191,409
128,193,412
129,194,416
130,191,410
131,190,417
132,191,412
133,192,425
134,193,423
135,193,413
136,193,407
137,195,420
138,192,418
139,192,418
140,193,421
141,193,412
142,191,410
143,193,419
144,188,407
145,193,424
146,193,426
147,189,414
148,192,418
149,182,395
150,193,419
151,192,418
152,195,425
153,196,422
154,189,417
155,192,422
156,188,423
157,197,422
158,191,432
159,196,430
160,192,429
161,195,434
162,194,414
163,193,427
164,197,433
165,196,427
166,193,430
167,195,418
168,194,430
169,197,435
170,197,439
171,197,431
172,196,438
173,198,431
174,198,436
175,197,437
176,198,432
177,199,438
178,198,435
179,199,426
180,198,435
181,198,429
182,199,438
183,198,422
184,197,431
185,197,429
186,197,438
187,198,441
188,198,438
189,198,439
190,198,436
191,198,438
192,199,439
193,199,444
194,199,438
195,198,441
196,198,439
197,198,438
198,198,441
199,198,440
200,199,448
201,198,439
202,198,444
203,199,437
204,198,434
205,198,441
206,197,425
207,198,440
208,199,442
209,200,443
210,197,436
211,198,442
212,200,445
213,200,447
214,200,450
215,199,444
216,199,444
217,199,442
218,198,436
219,200,442
220,199,442
221,198,438
222,198,445
223,198,442
224,200,446
225,199,445
226,198,439
227,197,440
228,198,433
229,197,439
230,196,436
231,198,422
232,198,443
233,197,422
234,199,445
235,199,439
236,199,437
237,198,435
238,200,444
239,199,439
240,199,440
241,199,437
242,199,442
243,199,444
244,199,434
245,199,454
246,199,439
247,200,454
248,199,444
249,199,454
250,198,438
251,199,439
252,196,443
253,199,447
254,199,444
255,199,444
256,199,442
257,199,443
258,199,442
259,199,442
260,197,448
261,199,424
262,199,444
263,199,438
264,199,440
265,198,424
266,199,444
267,199,420
268,199,443
269,199,452
270,199,444
271,200,452
272,200,435
273,200,450
274,196,432
275,199,445
276,199,442
277,200,444
278,198,425
279,199,449
280,198,427
281,200,449
282,199,455
283,200,442
284,200,447
285,200,446
286,200,452
287,200,445
288,200,455
289,200,449
290,199,454
291,198,429
292,199,456
293,199,424
294,200,449
295,200,444
296,200,458
297,200,446
298,200,449
299,200,451
300,200,450
301,200,451
302,199,450
303,200,445
304,200,454
305,200,446
306,200,461
307,199,446
308,199,449
309,199,454
310,200,456
311,200,449
312,200,458
313,200,453
314,200,452
315,200,449
316,200,453
317,200,448
318,199,452
319,199,449
320,199,448
321,200,451
322,200,450
323,200,449
324,198,434
325,199,454
326,199,434
327,200,454
328,200,447
329,200,450
330,200,449
331,200,451
332,200,450
333,200,453
334,200,456
335,200,455
336,199,442
337,200,456
338,199,446
339,200,452
340,199,448
341,198,460
342,199,438
343,200,459
344,200,453
345,200,455
346,200,448
347,200,457
348,200,446
349,200,458
350,200,452
351,198,459
352,199,440
353,200,459
354,200,444
355,200,458
356,200,461
357,200,452
358,200,451
359,200,457
360,200,454
361,200,459
362,200,439
363,200,459
364,200,435
365,200,452
366,199,444
367,200,452
368,200,442
369,200,455
370,199,449
371,199,455
372,200,448
373,200,439
374,200,461
375,200,437
376,200,459
377,200,440
378,200,441
379,200,444
380,200,444
381,200,450
382,200,459
383,199,435
384,199,440
385,199,440
386,200,456
387,200,443
388,200,451
389,199,449
390,199,456
391,199,455
392,199,453
393,199,451
394,199,449
395,199,451
396,199,453
397,200,457
398,200,445
399,200,459
400,200,458
401,200,462
402,200,461
403,200,452
404,200,426
405,200,461
406,199,444
407,200,454
408,200,444
409,199,442
410,200,457
411,199,443
412,199,468
