,200_300_train,200_300_test
0,16,27
1,90,117
2,70,96
3,74,102
4,77,125
5,77,110
6,79,113
7,78,123
8,84,113
9,75,128
10,84,113
11,81,126
12,82,114
13,94,133
14,83,125
15,95,121
16,101,130
17,86,126
18,87,123
19,98,131
20,86,119
21,84,121
22,91,118
23,90,119
24,92,117
25,89,123
26,94,122
27,99,123
28,98,117
29,94,122
30,95,127
31,96,126
32,95,127
33,94,126
34,97,124
35,99,130
36,99,133
37,102,134
38,117,145
39,118,141
40,117,139
41,120,154
42,126,155
43,116,140
44,124,150
45,124,138
46,122,149
47,129,151
48,132,152
49,134,151
50,136,160
51,130,154
52,128,158
53,141,162
54,128,143
55,141,165
56,128,154
57,140,161
58,133,142
59,143,148
60,142,163
61,157,169
62,148,171
63,153,179
64,154,176
65,159,174
66,155,170
67,144,164
68,160,180
69,160,177
70,152,179
71,165,177
72,155,165
73,161,184
74,162,179
75,160,179
76,160,182
77,161,176
78,162,171
79,163,188
80,167,186
81,165,176
82,163,194
83,167,181
84,165,194
85,171,189
86,174,187
87,171,193
88,176,185
89,172,191
90,174,189
91,178,184
92,174,205
93,177,197
94,174,197
95,175,187
96,172,188
97,175,187
98,175,196
99,173,187
100,174,197
101,176,196
102,178,198
103,177,195
104,179,197
105,178,195
106,180,195
107,177,196
108,177,197
109,181,206
110,177,194
111,179,202
112,177,200
113,179,203
114,178,208
115,181,209
116,179,197
117,180,207
118,178,203
119,181,206
120,182,195
121,185,207
122,182,203
123,181,204
124,183,207
125,181,209
126,185,210
127,183,204
128,186,208
129,186,220
130,185,205
131,183,214
132,191,211
133,185,213
134,187,209
135,190,213
136,192,214
137,187,211
138,188,215
139,193,216
140,187,214
141,189,221
142,186,209
143,189,221
144,195,217
145,190,211
146,192,219
147,191,216
148,189,204
149,192,213
150,193,217
151,195,223
152,192,214
153,193,223
154,193,223
155,195,226
156,195,225
157,193,222
158,195,225
159,194,215
160,195,225
161,194,221
162,195,220
163,196,220
164,196,226
165,196,218
166,196,223
167,198,219
168,195,223
169,194,218
170,197,225
171,197,227
172,198,225
173,198,221
174,199,225
175,199,221
176,200,225
177,198,222
178,200,226
179,200,229
180,199,223
181,200,226
182,200,224
183,200,229
184,200,229
185,200,229
186,200,226
187,200,227
188,200,230
189,200,228
190,200,229
191,200,226
192,200,228
193,200,229
194,200,226
195,200,225
196,200,230
197,200,225
198,200,227
199,200,233
200,200,229
201,200,228
202,200,233
203,200,231
204,200,230
205,200,225
206,200,226
207,200,230
208,200,223
209,200,231
210,200,228
211,200,230
212,200,229
213,200,231
214,200,230
215,200,228
216,200,231
217,200,231
218,200,231
219,200,231
220,200,231
221,200,225
222,200,225
223,200,227
224,200,225
225,200,229
226,200,226
227,200,228
228,200,225
229,200,231
230,200,234
231,200,227
232,200,229
233,200,229
234,200,229
235,200,226
236,200,229
237,200,225
238,200,231
239,200,228
240,200,230
241,200,225
242,200,228
243,200,229
244,200,228
245,200,228
246,200,231
247,200,229
248,200,229
249,200,227
250,200,230
251,200,231
252,200,224
253,200,225
254,200,230
255,200,225
256,200,225
257,200,229
258,200,232
259,200,226
260,200,229
261,200,227
262,200,229
263,200,234
264,200,227
265,200,228
266,200,228
267,200,228
268,200,229
269,200,228
270,200,229
271,200,226
272,200,226
273,200,227
274,200,229
275,200,225
276,200,225
277,200,221
278,200,228
279,200,229
280,200,227
281,200,227
282,200,229
283,200,227
284,200,230
285,200,223
286,200,226
287,200,228
288,200,235
289,200,231
290,200,229
291,200,226
292,200,226
293,200,226
294,200,224
295,200,229
296,200,224
297,200,228
298,200,226
299,200,230
300,200,227
301,200,229
302,200,230
303,200,229
304,200,221
305,200,228
306,200,221
307,200,223
308,200,225
309,200,226
310,200,227
311,200,229
312,200,234
313,200,225
314,200,229
315,200,227
316,200,224
317,200,227
318,200,231
319,200,228
320,200,224
321,200,232
322,200,231
323,200,226
324,200,228
325,200,229
326,200,228
327,200,227
328,200,226
329,200,229
330,200,230
331,200,230
332,200,228
333,200,228
334,200,230
335,200,228
336,200,226
337,200,227
338,200,229
339,200,227
340,200,229
341,200,229
342,200,229
343,200,226
344,200,229
345,200,227
346,200,226
347,200,232
348,200,229
349,200,227
350,200,226
351,200,227
352,200,225
353,200,227
354,200,223
355,200,228
356,200,230
357,200,229
358,200,233
359,200,236
360,200,227
361,200,232
362,200,228
363,200,231
364,200,229
365,200,231
366,200,227
367,200,231
368,200,229
369,200,232
370,200,229
371,200,230
372,200,225
373,200,228
374,200,228
375,200,228
376,200,227
377,200,230
378,200,229
379,200,231
380,200,227
381,200,227
382,200,230
383,200,230
384,200,229
385,200,226
386,200,234
387,200,228
388,200,227
389,200,229
390,200,228
391,200,228
392,200,225
393,200,227
394,200,228
395,200,225
396,200,227
397,200,231
398,200,224
399,200,226
400,200,226
401,200,226
402,200,228
403,200,227
404,200,227
405,200,226
406,200,233
407,200,226
408,200,228
409,200,228
410,200,228
411,200,229
412,200,224
413,200,227
414,200,229
415,200,228
416,200,224
417,200,225
418,200,225
419,200,229
420,200,225
421,200,224
422,200,229
423,200,226
424,200,229
425,200,232
426,200,229
427,200,229
428,200,230
429,200,229
430,200,227
431,200,230
432,200,230
433,200,227
434,200,228
435,200,227
436,200,228
437,200,223
438,200,229
439,200,228
440,200,228
441,200,226
442,200,230
443,200,227
444,200,232
445,200,234
446,200,232
447,200,227
448,200,235
449,200,229
450,200,233
